Area Type,Area Name,Date,Industry Title,Seasonally Adjusted (Y/N),Current Employment
County,Ventura County,03/1/2002,State Government Educational Services,N,300
County,Ventura County,03/1/2002,Local Government Educational Services,N,22300
County,Ventura County,03/1/2002,Local Government,N,36200
County,Ventura County,03/1/2002,City Government,N,4100
County,Ventura County,03/1/2002,State Government,N,1900
County,Ventura County,03/1/2002,County Government,N,8200
County,Ventura County,03/1/2002,Special Districts plus Tribes,N,1600
County,Ventura County,03/1/2002,Department of Defense,N,5500
County,Ventura County,03/1/2002,"        Professional, Scientific, and Technical Services",N,13600
County,Ventura County,03/1/2002,          Federal Government excluding Department of Defense,N,2400
County,Ventura County,03/1/2002,        Accommodation and Food Services,N,22400
County,Ventura County,03/1/2002,Government,N,46000
County,Ventura County,03/1/2002,          Administrative and Support Services,N,19000
County,Ventura County,03/1/2002,"Total, All Industries",N,303400
County,Ventura County,03/1/2002,Total Farm,N,21700
County,Ventura County,03/1/2002,Administrative and Support and Waste and Remediation Services,N,19600
County,Ventura County,03/1/2002,      Private Education and Health Services,N,26600
County,Ventura County,03/1/2002,Other Services,N,9900
County,Ventura County,03/1/2002,Management of Companies and Enterprises,N,7500
County,Ventura County,03/1/2002,Employment Services,N,8800
County,Ventura County,03/1/2002,Total Private,N,235700
County,Ventura County,03/1/2002,Total Nonfarm,N,281700
County,Ventura County,03/1/2002,Goods Producing,N,50600
County,Ventura County,03/1/2002,      Leisure and Hospitality,N,26500
County,Ventura County,03/1/2002,Federal Government,N,7900
County,Ventura County,04/1/2002,Real Estate and Rental and Leasing,N,4600
County,Ventura County,04/1/2002,          Credit Intermediation and Related Activities including Monetary Authorities - Central Bank,N,8800
County,Ventura County,04/1/2002,      Financial Activities,N,21800
County,Ventura County,04/1/2002,          Transportation and Warehousing,N,4800
County,Ventura County,04/1/2002,General Merchandise Retailers,N,5500
County,Ventura County,04/1/2002,Wholesale Trade,N,11600
County,Ventura County,04/1/2002,"        Transportation, Warehousing, and Utilities",N,5700
County,Ventura County,04/1/2002,          Food and Beverage Retailers,N,6400
County,Ventura County,04/1/2002,Retail Trade,N,33100
County,Ventura County,04/1/2002,      Professional and Business Services,N,41000
County,Ventura County,04/1/2002,          Insurance Carriers and Related Activities,N,7500
County,Ventura County,04/1/2002,        Finance and Insurance,N,17200
County,Ventura County,04/1/2002,      Information,N,8600
County,Ventura County,04/1/2002,Total Nonfarm,Y,281900
County,Ventura County,04/1/2002,Specialty Trade Contractors,N,11000
County,Ventura County,04/1/2002,"Trade, Transportation, and Utilities",N,50400
County,Ventura County,04/1/2002,Service-Providing,N,231100
County,Ventura County,04/1/2002,          Computer and Electronic Product Manufacturing,N,10900
County,Ventura County,04/1/2002,Durable Goods,N,25200
County,Ventura County,04/1/2002,Construction,N,15300
County,Ventura County,04/1/2002,Non-durable Goods,N,9200
County,Ventura County,04/1/2002,"     Mining, Logging and Construction",N,16000
County,Ventura County,04/1/2002,      Mining and Logging,N,700
County,Ventura County,04/1/2002,Chemical Manufacturing,N,3000
County,Ventura County,04/1/2002,Manufacturing,N,34400
County,Ventura County,04/1/2002,Private Service Providing,N,185400
County,Ventura County,04/1/2002,Total State and Local Government,N,37900
County,Ventura County,04/1/2002,State Government Excluding Education,N,1700
County,Ventura County,04/1/2002,State Government Educational Services,N,300
County,Ventura County,04/1/2002,Local Government Educational Services,N,22000
County,Ventura County,04/1/2002,City Government,N,4100
County,Ventura County,04/1/2002,Local Government,N,35900
County,Ventura County,04/1/2002,State Government,N,2000
County,Ventura County,04/1/2002,Special Districts plus Tribes,N,1600
County,Ventura County,04/1/2002,County Government,N,8200
County,Ventura County,04/1/2002,"        Professional, Scientific, and Technical Services",N,13700
County,Ventura County,04/1/2002,Department of Defense,N,5500
County,Ventura County,04/1/2002,          Federal Government excluding Department of Defense,N,2300
County,Ventura County,04/1/2002,Government,N,45700
County,Ventura County,04/1/2002,        Accommodation and Food Services,N,22500
County,Ventura County,04/1/2002,          Administrative and Support Services,N,19100
County,Ventura County,04/1/2002,      Private Education and Health Services,N,26800
County,Ventura County,04/1/2002,Other Services,N,10000
County,Ventura County,04/1/2002,Employment Services,N,8600
County,Ventura County,04/1/2002,Management of Companies and Enterprises,N,7500
County,Ventura County,04/1/2002,Total Nonfarm,N,281500
County,Ventura County,04/1/2002,Total Private,N,235800
County,Ventura County,04/1/2002,Federal Government,N,7800
County,Ventura County,04/1/2002,      Leisure and Hospitality,N,26800
County,Ventura County,04/1/2002,Goods Producing,N,50400
County,Ventura County,04/1/2002,"Total, All Industries",N,306000
County,Ventura County,04/1/2002,Total Farm,N,24500
County,Ventura County,04/1/2002,Administrative and Support and Waste and Remediation Services,N,19800
County,Ventura County,05/1/2002,Total Nonfarm,Y,281900
County,Ventura County,05/1/2002,Real Estate and Rental and Leasing,N,4600
County,Ventura County,05/1/2002,      Financial Activities,N,22000
County,Ventura County,05/1/2002,          Credit Intermediation and Related Activities including Monetary Authorities - Central Bank,N,8900
County,Ventura County,05/1/2002,General Merchandise Retailers,N,5600
County,Ventura County,05/1/2002,          Transportation and Warehousing,N,4900
County,Ventura County,05/1/2002,Wholesale Trade,N,11700
County,Ventura County,05/1/2002,          Food and Beverage Retailers,N,6500
County,Ventura County,05/1/2002,"        Transportation, Warehousing, and Utilities",N,5700
County,Ventura County,05/1/2002,      Professional and Business Services,N,41100
County,Ventura County,05/1/2002,          Insurance Carriers and Related Activities,N,7600
County,Ventura County,05/1/2002,      Information,N,8500
County,Ventura County,05/1/2002,        Finance and Insurance,N,17400
County,Ventura County,05/1/2002,Specialty Trade Contractors,N,11000
County,Ventura County,05/1/2002,          Computer and Electronic Product Manufacturing,N,10800
County,Ventura County,05/1/2002,Service-Providing,N,232100
County,Ventura County,05/1/2002,"Trade, Transportation, and Utilities",N,50700
County,Ventura County,05/1/2002,Durable Goods,N,25200
County,Ventura County,05/1/2002,Retail Trade,N,33300
County,Ventura County,05/1/2002,Construction,N,15400
County,Ventura County,05/1/2002,"     Mining, Logging and Construction",N,16100
County,Ventura County,05/1/2002,Non-durable Goods,N,9500
County,Ventura County,05/1/2002,      Mining and Logging,N,700
County,Ventura County,05/1/2002,Manufacturing,N,34700
County,Ventura County,05/1/2002,Chemical Manufacturing,N,3100
County,Ventura County,05/1/2002,Private Service Providing,N,186500
County,Ventura County,05/1/2002,State Government Excluding Education,N,1700
County,Ventura County,05/1/2002,Total State and Local Government,N,37800
County,Ventura County,05/1/2002,State Government Educational Services,N,300
County,Ventura County,05/1/2002,Local Government Educational Services,N,21800
County,Ventura County,05/1/2002,Local Government,N,35800
County,Ventura County,05/1/2002,City Government,N,4100
County,Ventura County,05/1/2002,State Government,N,2000
County,Ventura County,05/1/2002,County Government,N,8300
County,Ventura County,05/1/2002,Special Districts plus Tribes,N,1600
County,Ventura County,05/1/2002,Department of Defense,N,5400
County,Ventura County,05/1/2002,"        Professional, Scientific, and Technical Services",N,13500
County,Ventura County,05/1/2002,          Federal Government excluding Department of Defense,N,2400
County,Ventura County,05/1/2002,        Accommodation and Food Services,N,22900
County,Ventura County,05/1/2002,Government,N,45600
County,Ventura County,05/1/2002,          Administrative and Support Services,N,19500
County,Ventura County,05/1/2002,"Total, All Industries",N,307200
County,Ventura County,05/1/2002,Total Farm,N,24300
County,Ventura County,05/1/2002,Administrative and Support and Waste and Remediation Services,N,20100
County,Ventura County,05/1/2002,      Private Education and Health Services,N,26900
County,Ventura County,05/1/2002,Other Services,N,10100
County,Ventura County,05/1/2002,Management of Companies and Enterprises,N,7500
County,Ventura County,05/1/2002,Employment Services,N,8900
County,Ventura County,05/1/2002,Total Private,N,237300
County,Ventura County,05/1/2002,Total Nonfarm,N,282900
County,Ventura County,05/1/2002,Goods Producing,N,50800
County,Ventura County,05/1/2002,      Leisure and Hospitality,N,27200
County,Ventura County,05/1/2002,Federal Government,N,7800
County,Ventura County,06/1/2002,Real Estate and Rental and Leasing,N,4600
County,Ventura County,06/1/2002,          Credit Intermediation and Related Activities including Monetary Authorities - Central Bank,N,9000
County,Ventura County,06/1/2002,      Financial Activities,N,22200
County,Ventura County,06/1/2002,          Transportation and Warehousing,N,4900
County,Ventura County,06/1/2002,General Merchandise Retailers,N,5700
County,Ventura County,06/1/2002,Wholesale Trade,N,11700
County,Ventura County,06/1/2002,"        Transportation, Warehousing, and Utilities",N,5800
County,Ventura County,06/1/2002,          Food and Beverage Retailers,N,6400
County,Ventura County,06/1/2002,      Professional and Business Services,N,41200
County,Ventura County,06/1/2002,          Insurance Carriers and Related Activities,N,7600
County,Ventura County,06/1/2002,        Finance and Insurance,N,17600
County,Ventura County,06/1/2002,      Information,N,8400
County,Ventura County,06/1/2002,Total Nonfarm,Y,282300
County,Ventura County,06/1/2002,Specialty Trade Contractors,N,11200
County,Ventura County,06/1/2002,          Computer and Electronic Product Manufacturing,N,10700
County,Ventura County,06/1/2002,"Trade, Transportation, and Utilities",N,51200
County,Ventura County,06/1/2002,Service-Providing,N,233800
County,Ventura County,06/1/2002,Retail Trade,N,33700
County,Ventura County,06/1/2002,Durable Goods,N,25200
County,Ventura County,06/1/2002,Construction,N,15600
County,Ventura County,06/1/2002,Non-durable Goods,N,9600
County,Ventura County,06/1/2002,"     Mining, Logging and Construction",N,16300
County,Ventura County,06/1/2002,      Mining and Logging,N,700
County,Ventura County,06/1/2002,Chemical Manufacturing,N,3300
County,Ventura County,06/1/2002,Manufacturing,N,34800
County,Ventura County,06/1/2002,Private Service Providing,N,187700
County,Ventura County,06/1/2002,Total State and Local Government,N,38200
County,Ventura County,06/1/2002,State Government Excluding Education,N,1700
County,Ventura County,06/1/2002,State Government Educational Services,N,300
County,Ventura County,06/1/2002,Local Government Educational Services,N,22000
County,Ventura County,06/1/2002,City Government,N,4200
County,Ventura County,06/1/2002,Local Government,N,36200
County,Ventura County,06/1/2002,State Government,N,2000
County,Ventura County,06/1/2002,Special Districts plus Tribes,N,1700
County,Ventura County,06/1/2002,County Government,N,8300
County,Ventura County,06/1/2002,"        Professional, Scientific, and Technical Services",N,13500
County,Ventura County,06/1/2002,Department of Defense,N,5400
County,Ventura County,06/1/2002,          Federal Government excluding Department of Defense,N,2500
County,Ventura County,06/1/2002,Government,N,46100
County,Ventura County,06/1/2002,        Accommodation and Food Services,N,23200
County,Ventura County,06/1/2002,          Administrative and Support Services,N,19700
County,Ventura County,06/1/2002,      Private Education and Health Services,N,26800
County,Ventura County,06/1/2002,Other Services,N,10300
County,Ventura County,06/1/2002,Employment Services,N,9000
County,Ventura County,06/1/2002,Management of Companies and Enterprises,N,7400
County,Ventura County,06/1/2002,Total Nonfarm,N,284900
County,Ventura County,06/1/2002,Total Private,N,238800
County,Ventura County,06/1/2002,Federal Government,N,7900
County,Ventura County,06/1/2002,      Leisure and Hospitality,N,27600
County,Ventura County,06/1/2002,Goods Producing,N,51100
County,Ventura County,06/1/2002,"Total, All Industries",N,307100
County,Ventura County,06/1/2002,Total Farm,N,22200
County,Ventura County,06/1/2002,Administrative and Support and Waste and Remediation Services,N,20300
County,Ventura County,07/1/2002,Total Nonfarm,Y,283100
County,Ventura County,07/1/2002,Real Estate and Rental and Leasing,N,4600
County,Ventura County,07/1/2002,      Financial Activities,N,22500
County,Ventura County,07/1/2002,          Credit Intermediation and Related Activities including Monetary Authorities - Central Bank,N,9300
County,Ventura County,07/1/2002,General Merchandise Retailers,N,5800
County,Ventura County,07/1/2002,          Transportation and Warehousing,N,4800
County,Ventura County,07/1/2002,Wholesale Trade,N,11500
County,Ventura County,07/1/2002,          Food and Beverage Retailers,N,6400
County,Ventura County,07/1/2002,"        Transportation, Warehousing, and Utilities",N,5700
County,Ventura County,07/1/2002,      Professional and Business Services,N,41100
County,Ventura County,07/1/2002,          Insurance Carriers and Related Activities,N,7600
County,Ventura County,07/1/2002,      Information,N,8200
County,Ventura County,07/1/2002,        Finance and Insurance,N,17900
County,Ventura County,07/1/2002,Specialty Trade Contractors,N,11400
County,Ventura County,07/1/2002,          Computer and Electronic Product Manufacturing,N,10500
County,Ventura County,07/1/2002,Service-Providing,N,231900
County,Ventura County,07/1/2002,"Trade, Transportation, and Utilities",N,50600
County,Ventura County,07/1/2002,Durable Goods,N,24800
County,Ventura County,07/1/2002,Retail Trade,N,33400
County,Ventura County,07/1/2002,Construction,N,15800
County,Ventura County,07/1/2002,"     Mining, Logging and Construction",N,16500
County,Ventura County,07/1/2002,      Mining and Logging,N,700
County,Ventura County,07/1/2002,Manufacturing,N,33800
County,Ventura County,07/1/2002,Non-durable Goods,N,9000
County,Ventura County,07/1/2002,Chemical Manufacturing,N,3000
County,Ventura County,07/1/2002,Private Service Providing,N,188100
County,Ventura County,07/1/2002,Total State and Local Government,N,36000
County,Ventura County,07/1/2002,State Government Educational Services,N,300
County,Ventura County,07/1/2002,State Government,N,2000
County,Ventura County,07/1/2002,County Government,N,8300
County,Ventura County,07/1/2002,Special Districts plus Tribes,N,1800
County,Ventura County,07/1/2002,Local Government Educational Services,N,19700
County,Ventura County,07/1/2002,State Government Excluding Education,N,1700
County,Ventura County,07/1/2002,Local Government,N,34000
County,Ventura County,07/1/2002,City Government,N,4200
County,Ventura County,07/1/2002,"        Professional, Scientific, and Technical Services",N,13600
County,Ventura County,07/1/2002,Department of Defense,N,5500
County,Ventura County,07/1/2002,          Federal Government excluding Department of Defense,N,2300
County,Ventura County,07/1/2002,        Accommodation and Food Services,N,23500
County,Ventura County,07/1/2002,Government,N,43800
County,Ventura County,07/1/2002,          Administrative and Support Services,N,19500
County,Ventura County,07/1/2002,"Total, All Industries",N,301600
County,Ventura County,07/1/2002,Total Farm,N,19400
County,Ventura County,07/1/2002,Administrative and Support and Waste and Remediation Services,N,20100
County,Ventura County,07/1/2002,      Private Education and Health Services,N,27200
County,Ventura County,07/1/2002,Other Services,N,10400
County,Ventura County,07/1/2002,Management of Companies and Enterprises,N,7400
County,Ventura County,07/1/2002,Employment Services,N,9000
County,Ventura County,07/1/2002,Total Private,N,238400
County,Ventura County,07/1/2002,Total Nonfarm,N,282200
County,Ventura County,07/1/2002,Goods Producing,N,50300
County,Ventura County,07/1/2002,      Leisure and Hospitality,N,28100
County,Ventura County,07/1/2002,Federal Government,N,7800
County,Ventura County,08/1/2002,Real Estate and Rental and Leasing,N,4700
County,Ventura County,08/1/2002,          Credit Intermediation and Related Activities including Monetary Authorities - Central Bank,N,9400
County,Ventura County,08/1/2002,      Financial Activities,N,22700
County,Ventura County,08/1/2002,          Transportation and Warehousing,N,4800
County,Ventura County,08/1/2002,General Merchandise Retailers,N,5700
County,Ventura County,08/1/2002,Wholesale Trade,N,11600
County,Ventura County,08/1/2002,"        Transportation, Warehousing, and Utilities",N,5700
County,Ventura County,08/1/2002,          Food and Beverage Retailers,N,6400
County,Ventura County,08/1/2002,      Professional and Business Services,N,40700
County,Ventura County,08/1/2002,          Insurance Carriers and Related Activities,N,7600
County,Ventura County,08/1/2002,        Finance and Insurance,N,18000
County,Ventura County,08/1/2002,      Information,N,8100
County,Ventura County,08/1/2002,Total Nonfarm,Y,281900
County,Ventura County,08/1/2002,Specialty Trade Contractors,N,11300
County,Ventura County,08/1/2002,          Computer and Electronic Product Manufacturing,N,10300
County,Ventura County,08/1/2002,"Trade, Transportation, and Utilities",N,50800
County,Ventura County,08/1/2002,Service-Providing,N,229400
County,Ventura County,08/1/2002,Retail Trade,N,33500
County,Ventura County,08/1/2002,Durable Goods,N,24600
County,Ventura County,08/1/2002,Construction,N,15800
County,Ventura County,08/1/2002,"     Mining, Logging and Construction",N,16500
County,Ventura County,08/1/2002,      Mining and Logging,N,700
County,Ventura County,08/1/2002,Manufacturing,N,33400
County,Ventura County,08/1/2002,Chemical Manufacturing,N,3000
County,Ventura County,08/1/2002,Non-durable Goods,N,8800
County,Ventura County,08/1/2002,Private Service Providing,N,187700
County,Ventura County,08/1/2002,State Government Educational Services,N,300
County,Ventura County,08/1/2002,Total State and Local Government,N,33900
County,Ventura County,08/1/2002,State Government,N,2000
County,Ventura County,08/1/2002,Special Districts plus Tribes,N,1800
County,Ventura County,08/1/2002,County Government,N,8300
County,Ventura County,08/1/2002,Local Government Educational Services,N,17700
County,Ventura County,08/1/2002,State Government Excluding Education,N,1700
County,Ventura County,08/1/2002,City Government,N,4100
County,Ventura County,08/1/2002,Local Government,N,31900
County,Ventura County,08/1/2002,"        Professional, Scientific, and Technical Services",N,13700
County,Ventura County,08/1/2002,Department of Defense,N,5500
County,Ventura County,08/1/2002,          Federal Government excluding Department of Defense,N,2300
County,Ventura County,08/1/2002,Government,N,41700
County,Ventura County,08/1/2002,        Accommodation and Food Services,N,23400
County,Ventura County,08/1/2002,          Administrative and Support Services,N,19000
County,Ventura County,08/1/2002,      Private Education and Health Services,N,27100
County,Ventura County,08/1/2002,Other Services,N,10300
County,Ventura County,08/1/2002,Employment Services,N,8900
County,Ventura County,08/1/2002,Management of Companies and Enterprises,N,7300
County,Ventura County,08/1/2002,Total Nonfarm,N,279300
County,Ventura County,08/1/2002,Total Private,N,237600
County,Ventura County,08/1/2002,Federal Government,N,7800
County,Ventura County,08/1/2002,      Leisure and Hospitality,N,28000
County,Ventura County,08/1/2002,Goods Producing,N,49900
County,Ventura County,08/1/2002,"Total, All Industries",N,294900
County,Ventura County,08/1/2002,Total Farm,N,15600
County,Ventura County,08/1/2002,Administrative and Support and Waste and Remediation Services,N,19700
County,Ventura County,09/1/2002,Total Nonfarm,Y,283700
County,Ventura County,09/1/2002,Real Estate and Rental and Leasing,N,4700
County,Ventura County,09/1/2002,      Financial Activities,N,22800
County,Ventura County,09/1/2002,          Credit Intermediation and Related Activities including Monetary Authorities - Central Bank,N,9500
County,Ventura County,09/1/2002,General Merchandise Retailers,N,5800
County,Ventura County,09/1/2002,          Transportation and Warehousing,N,4800
County,Ventura County,09/1/2002,Wholesale Trade,N,11400
County,Ventura County,09/1/2002,          Food and Beverage Retailers,N,6500
County,Ventura County,09/1/2002,"        Transportation, Warehousing, and Utilities",N,5600
County,Ventura County,09/1/2002,      Professional and Business Services,N,41000
County,Ventura County,09/1/2002,          Insurance Carriers and Related Activities,N,7600
County,Ventura County,09/1/2002,      Information,N,8000
County,Ventura County,09/1/2002,        Finance and Insurance,N,18100
County,Ventura County,09/1/2002,Specialty Trade Contractors,N,11400
County,Ventura County,09/1/2002,          Computer and Electronic Product Manufacturing,N,10200
County,Ventura County,09/1/2002,Service-Providing,N,233200
County,Ventura County,09/1/2002,"Trade, Transportation, and Utilities",N,50800
County,Ventura County,09/1/2002,Durable Goods,N,24600
County,Ventura County,09/1/2002,Retail Trade,N,33800
County,Ventura County,09/1/2002,Construction,N,15900
County,Ventura County,09/1/2002,"     Mining, Logging and Construction",N,16600
County,Ventura County,09/1/2002,      Mining and Logging,N,700
County,Ventura County,09/1/2002,Manufacturing,N,33600
County,Ventura County,09/1/2002,Non-durable Goods,N,9000
County,Ventura County,09/1/2002,Chemical Manufacturing,N,2900
County,Ventura County,09/1/2002,Private Service Providing,N,188800
County,Ventura County,09/1/2002,State Government Educational Services,N,300
County,Ventura County,09/1/2002,County Government,N,8300
County,Ventura County,09/1/2002,Special Districts plus Tribes,N,1700
County,Ventura County,09/1/2002,State Government,N,2100
County,Ventura County,09/1/2002,Total State and Local Government,N,36600
County,Ventura County,09/1/2002,Local Government Educational Services,N,20400
County,Ventura County,09/1/2002,State Government Excluding Education,N,1800
County,Ventura County,09/1/2002,Local Government,N,34500
County,Ventura County,09/1/2002,City Government,N,4100
County,Ventura County,09/1/2002,"        Professional, Scientific, and Technical Services",N,13800
County,Ventura County,09/1/2002,Department of Defense,N,5500
